Age,Salary,Buy
58,62107,1
48,40666,1
34,64357,0
27,71663,0
40,35708,0
58,46370,1
38,69811,1
42,22811,0
30,76250,0
30,67011,0
43,26546,0
55,78713,1
59,54754,1
43,50206,1
22,61106,0
41,31411,0
21,22911,0
43,21734,0
49,38227,0
57,28680,0
21,39360,0
40,38343,0
52,25759,0
31,43078,0
41,55153,1
44,31111,0
46,57504,1
47,21802,0
35,28155,0
34,28120,0
22,59384,0
56,67025,1
26,67254,0
40,41918,1
28,40445,0
58,50306,1
37,36646,0
23,66843,0
44,75439,1
33,51065,0
28,45199,0
45,61976,1
21,36371,0
39,31835,0
47,65936,1
26,22049,0
27,51616,0
54,58191,1
33,67357,0
36,40932,1
55,72260,1
59,49855,1
23,27158,0
21,63016,0
25,27400,0
23,72322,0
48,62642,1
37,35151,0
45,71407,1
53,21154,0
29,24499,0
55,26295,0
33,75349,0
50,79040,1
34,32183,0
27,49299,0
33,32874,0
42,70800,1
59,52711,1
40,25539,0
35,62405,0
37,73351,1
43,77597,1
45,68354,1
44,22557,0
48,58360,1
34,36482,0
20,22200,0
44,66940,1
26,22961,0
28,66975,0
43,41357,1
20,73585,0
27,31969,0
43,22869,0
30,70108,0
36,66760,1
27,48643,0
54,44736,1
54,58467,1
52,43328,1
24,73645,0
58,45876,1
47,41295,1
26,23987,0
28,78871,0
27,42399,0
31,66214,0
53,53986,1
52,40880,1
42,24735,0
43,64064,1
56,24555,0
54,61914,1
59,60818,1
41,65525,1
46,39830,0
54,37429,0
20,26893,0
54,70845,1
56,34373,0
33,67333,0
22,23436,0
20,28754,0
24,30677,0
45,25895,0
33,39738,0
58,50746,1
46,69377,1
28,68404,0
34,74045,0
34,52352,0
45,59790,1
32,61919,0
51,25600,0
58,49124,1
51,47643,1
23,60764,0
49,29007,0
56,65714,1
42,76835,1
58,57410,1
34,64080,0
48,60447,1
55,28208,0
32,76491,0
51,78587,1
26,38589,0
41,63484,1
47,37453,0
21,56212,0
25,63525,0
47,67202,1
47,52635,1
39,53828,1
49,38711,0
30,23420,0
47,51216,1
44,20301,0
58,65236,1
52,69758,1
20,72322,0
46,20699,0
32,74240,0
22,78483,0
58,20190,0
25,30492,0
27,70132,0
46,55743,1
28,26102,0
56,70336,1
52,72479,1
43,39778,0
34,77471,0
51,46641,1
51,54584,1
43,52745,1
31,75006,0
58,43093,1
21,20569,0
22,58210,0
56,54663,1
36,71885,1
21,56631,0
21,65681,0
47,27455,0
42,24014,0
56,31093,0
51,38070,0
52,55777,1
20,76958,0
38,36538,0
21,30729,0
45,54177,1
51,65017,1
25,20784,0
51,47751,1
23,60864,0
30,60328,0
36,32533,0
57,60111,1
43,59974,1
24,74748,0
53,25801,0
25,39190,0
41,69689,1
30,58754,0
35,70993,0
52,49592,1
28,30647,0
